name	type	country	administered_by	location	year_est	year_closed	display_year_est	display_year_closed	status	notes	auto_tooltip	lat	lon	size
SkontorpCove		Tourism			2012	2013						-64.54	-62.52	6,100
ErreraChannel		Tourism			2012	2013						-64.42	-62.36	5,650
TelefonBay		Tourism			2012	2013						-62.56	-60.4	5,535
DeceptionIsland		Tourism			2012	2013						-62.57	-60.38	5,261
CiervaCove		Tourism			2012	2013						-64.9	-60.53	5,198
DamoyPoint/DorianBay		Tourism			2012	2013						-64.49	-63.32	5,156
OrneHarbor		Tourism			2012	2013						-64.37	-62.32	5,123
AntarcticSound		Tourism			2012	2013						-63.2	-56.45	4,756
MikkelsenHarbor(D'Hainaut)		Tourism			2012	2013						-63.54	-60.47	4,739
PortCharcot		Tourism			2012	2013						-65.4	-64	4,055
FreiStation		Tourism			2012	2013						-62.12	-58.57	4,014
WaterboatPoint/GonzalezVidelaStation		Tourism			2012	2013						-64.49	-62.51	3,781
DallmannBay		Tourism			2012	2013						-64.2	-62.55	3,719
HopeBay		Tourism			2012	2013						-63.23	-57	3,477
BailyHead		Tourism			2012	2013						-62.58	-60.29	3,459
PortalPoint		Tourism			2012	2013						-64.3	-61.46	3,293
YankeeHarbor		Tourism			2012	2013						-62.32	-59.47	3,102
DetailleIsland		Tourism			2012	2013						-66.52	-66.48	2,977
HannahPoint		Tourism			2012	2013						-62.39	-60.37	2,910
PointWild		Tourism			2012	2013						-61.6	-54.52	2,798
YalourIslands		Tourism			2012	2013						-65.14	-64.1	2,671
PeltierChannel		Tourism			2012	2013						-64.52	-63.32	2,517
EnterpriseIsland		Tourism			2012	2013						-64.32	-62	2,245
MelchiorIslands		Tourism			2012	2013						-64.19	-62.57	2,164
BismarckStrait		Tourism			2012	2013						-64.51	-64	1,976
AdmiraltyBay		Tourism			2012	2013						-62.1	-58.25	1,832
NeptunesBellows		Tourism			2012	2013						-63	-60.34	1,681
CharlotteBay		Tourism			2012	2013						-64.33	-61.39	1,680
GourdinIsland		Tourism			2012	2013						-63.12	-57.18	1,669
AstrolabeIsland		Tourism			2012	2013						-63.17	-58.4	1,567
LeithCove		Tourism			2012	2013						-64.52	-62.5	1,521
AndvordBay		Tourism			2012	2013						-64.5	-62.39	1,517
HydrurgaRocks		Tourism			2012	2013						-64.8	-61.37	1,472
PenguinIsland		Tourism			2012	2013						-62.6	-57.54	1,470
PortFoster		Tourism			2012	2013						-62.57	-60.39	1,398
WalkerBay(byHannahPoint)		Tourism			2012	2013						-62.38	-60.42	1,209
FergusonChannel		Tourism			2012	2013						-64.54	-62.59	996
WinterIsland		Tourism			2012	2013						-65.15	-64.16	990
PenolaStrait		Tourism			2012	2013						-65.1	-64.7	981
PendulumCove		Tourism			2012	2013						-62.56	-60.36	891
TurretPoint		Tourism			2012	2013						-62.5	-57.55	846
EnglishStrait		Tourism			2012	2013						-62.27	-59.38	830
HorseshoeIsland		Tourism			2012	2013						-67.51	-67.12	792
CapeLookout		Tourism			2012	2013						-61.16	-55.12	784
ProspectPoint		Tourism			2012	2013						-66.1	-65.21	742
RongeIsland/GeorgesPoint		Tourism			2012	2013						-64.43	-62.41	742
RongeIsland/KerrPoint		Tourism			2012	2013						-64.42	-62.37	742
RongeIslandKetleyPoint		Tourism			2012	2013						-64.42	-62.46	742
CrystalSound		Tourism			2012	2013						-66.23	-66.3	700
CapeEvans		Tourism			2012	2013						-77.38	166.24	672
TheGullet		Tourism			2012	2013						-67.1	-67.38	666
SpertIsland		Tourism			2012	2013						-63.51	-60.57	629
GrahamPassage		Tourism			2012	2013						-64.24	-61.31	584
HanusseBay		Tourism			2012	2013						-66.57	-67.3	574
UsefulIsland		Tourism			2012	2013						-64.43	-62.52	568
ArgentineIslandsOther		Tourism			2012	2013						-65.15	-64.16	553
CurtissBay		Tourism			2012	2013						-64.2	-60.47	516
BongrainPoint		Tourism			2012	2013						-67.43	-67.48	482
RobertPoint		Tourism			2012	2013						-62.28	-59.23	480
HovgaardIsland		Tourism			2012	2013						-65.8	-64.8	465
FridtjofSound		Tourism			2012	2013						-63.34	-56.43	428
OrneIslands		Tourism			2012	2013						-64.4	-62.4	426
CapeRoyds		Tourism			2012	2013						-77.32	-166.8	414
FalseBay		Tourism			2012	2013						-62.43	-60.22	399
FournierBay		Tourism			2012	2013						-64.31	-63.6	373
StoningtonIsland		Tourism			2012	2013						-68.11	-67	370
FishIslands		Tourism			2012	2013						-66.2	-65.25	356
BransfieldStrait		Tourism			2012	2013						-63	-59	314
CapeTuxen		Tourism			2012	2013						-65.16	-64.8	310
DevilIsland		Tourism			2012	2013						-63.48	-57.17	273
PeterIIsland		Tourism			2012	2013						-68.47	-90.35	270
LindbladCove		Tourism			2012	2013						-63.51	-59.27	255
LivingstonIsland		Tourism			2012	2013						-62.36	-60.3	239
KinnesCove/MadderCliffs		Tourism			2012	2013						-63.18	-56.27	235
JennyIsland		Tourism			2012	2013						-67.44	-68.24	223
RossIceShelf		Tourism			2012	2013						-81.3	-175	222
DiscoveryBay		Tourism			2012	2013						-62.29	-59.43	205
SpigotPeak		Tourism			2012	2013						-64.38	-62.34	194
HiddenBay		Tourism			2012	2013						-65.2	-63.46	160
SnowIsland		Tourism			2012	2013						-62.47	-61.23	157
ArdleyIsland		Tourism			2012	2013						-62.13	-58.56	156
FildesPeninsula		Tourism			2012	2013						-62.12	-58.58	148
FranklinIsland		Tourism			2012	2013						-76.5	168.19	132
TaylorValley/CanadaGlacier		Tourism			2012	2013						-77.39	162.56	129
WeddellSea		Tourism			2012	2013						-72	-45	125
FortPoint		Tourism			2012	2013						-62.34	-59.34	121
CoulmanIsland		Tourism			2012	2013						-73.28	169.45	103
BellingshausenSea		Tourism			2012	2013						-71	-85	95
ViewPoint		Tourism			2012	2013						-63.33	-57.22	94
CapeHallett		Tourism			2012	2013						-72.19	170.16	72
EdinburghHill		Tourism			2012	2013						-62.33	-60.1	70
PauletIsland		Tourism			2012	2013						-63.35	-55.47	57
McFarlaneStrait		Tourism			2012	2013						-62.32	-59.55	52
DoumerIsland		Tourism			2012	2013						-64.51	-63.35	34
NansenIsland		Tourism			2012	2013						-64.35	-62.6	33
NelsonIsland		Tourism			2012	2013						-62.18	-59.3	33
DuthiersPoint		Tourism			2012	2013						-64.48	-62.49	30
PalaverPoint		Tourism			2012	2013						-64.9	-61.45	12
RedRockRidge		Tourism			2012	2013						-68.18	-67.8	12
GirardBay		Tourism			2012	2013						-65.8	-64	11
PlataPassage		Tourism			2012	2013						-64.4	-62.1	8
CapeAdare		Tourism			2012	2013						-71.17	170.14	7
ErebusandTerrorGulf		Tourism			2012	2013						-63.55	-56.4	5
ActiveSound		Tourism			2012	2013						-63.25	-56.1	0
AdelaideIsland		Tourism			2012	2013						-67.15	-68.3	0
AdmiraltySound		Tourism			2012	2013						-64.2	-57.1	0
AguirrePassage		Tourism			2012	2013						-64.29	-62.3	0
AitchoIslands-BarrientosIsland		Tourism			2012	2013						-62.24	-59.47	0
AmphibolitePoint		Tourism			2012	2013						-60.41	-45.21	0
AndresenIsland		Tourism			2012	2013						-66.53	-66.4	0
ArctowskiStation		Tourism			2012	2013						-62.9	-58.28	0
ArthurHarbor		Tourism			2012	2013						-64.46	-64.4	0
BagnoldPoint		Tourism			2012	2013						-67.02	-67.29	0
BaldHead		Tourism			2012	2013						-63.38	-57.36	0
BallenyIslands		Tourism			2012	2013						-66.55	163.2	0
BancroftBay		Tourism			2012	2013						-64.34	-61.52	0
BayofWhales		Tourism			2012	2013						-78.3	-164.2	0
BeakIsland		Tourism			2012	2013						-63.37	-57.18	0
BearPeninsula		Tourism			2012	2013						-74.34	-111	0
BeascocheaBay		Tourism			2012	2013						-65.3	-64	0
BeerIsland		Tourism			2012	2013						-66	-65.41	0
BeethovenPeninsula		Tourism			2012	2013						-71.43	-73.4	0
BellingshausenStation		Tourism			2012	2013						-62.11	-58.57	0
BenedenHead		Tourism			2012	2013						-64.46	-62.42	0
BennettIslands		Tourism			2012	2013						-66.56	-67.4	0
BerthelotIslands		Tourism			2012	2013						-65.2	-64.9	0
BiscoeBay		Tourism			2012	2013						-64.48	-63.49	0
BiscoePoint		Tourism			2012	2013						-64.49	-63.49	0
BlaiklockIsland		Tourism			2012	2013						-67.33	-67.4	0
BlindBay		Tourism			2012	2013						-67.31	-66.31	0
BorgenBay		Tourism			2012	2013						-64.45	-63.3	0
BotanyBay		Tourism			2012	2013						-63.41	-57.53	0
BourgeoisFjord		Tourism			2012	2013						-67.4	-67.5	0
BoydStrait		Tourism			2012	2013						-62.5	-62	0
BrabantIsland		Tourism			2012	2013						-64.15	-62.2	0
BreakwaterIsland		Tourism			2012	2013						-64.48	-63.14	0
BrialmontCove		Tourism			2012	2013						-64.15	-60.58	0
BriandFjord		Tourism			2012	2013						-65.2	63.4	0
BrownsonIslands		Tourism			2012	2013						-74.1	-103.36	0
BrydeIsland		Tourism			2012	2013						-64.52	-63.2	0
BulsBay		Tourism			2012	2013						-64.23	-62.19	0
ButlerPassage		Tourism			2012	2013						-64.58	-63.44	0
CapeBird		Tourism			2012	2013						-77.9	166.42	0
CapeColbeck		Tourism			2012	2013						-77.7	-158.1	0
CapeCrozier		Tourism			2012	2013						-77.31	169.24	0
CapeDenison		Tourism			2012	2013						-67	142.4	0
CapeHerschel		Tourism			2012	2013						-64.4	-61.2	0
CapeSobral		Tourism			2012	2013						-64.34	-59.33	0
CapeValentine		Tourism			2012	2013						-61.6	-54.39	0
CarlssonBay		Tourism			2012	2013						-64.24	-58.04	0
CarrollInlet		Tourism			2012	2013						-73.18	-78.3	0
CenturionGlacier		Tourism			2012	2013						-68.12	-66.55	0
CharcotBay		Tourism			2012	2013						-63.48	-59.31	0
CharcotIsland		Tourism			2012	2013						-69.57	-75.25	0
ChiloéPoint		Tourism			2012	2013						-65.31	-63.58	0
ChiriguanoBay		Tourism			2012	2013						-64.28	-62.31	0
CockburnIsland		Tourism			2012	2013						-64.12	-56.51	0
ColbeckBay		Tourism			2012	2013						-71.37	170.4	0
CollinsBay		Tourism			2012	2013						-65.21	-64.4	0
CombRidge		Tourism			2012	2013						-63.55	-57.28	0
ConesaPoint		Tourism			2012	2013						-64.52	-62.5	0
CoronationIsland		Tourism			2012	2013						-60.37	-45.35	0
CroftBay		Tourism			2012	2013						-64	-57.45	0
CrokerPassage		Tourism			2012	2013						-64	-61.42	0
D'UrvilleMonument		Tourism			2012	2013						-63.25	-56.18	0
DangerIslands		Tourism			2012	2013						-63.25	-54.4	0
DebenhamIslands		Tourism			2012	2013						-68.8	-67.7	0
DelaiteIsland		Tourism			2012	2013						-64.33	-62.12	0
DogsLegFjord		Tourism			2012	2013						-67.43	-66.52	0
Dumontd'UrvilleStation		Tourism			2012	2013						-66.39	140	0
DuperréBay		Tourism			2012	2013						-64.27	-62.4	0
DurochIslands		Tourism			2012	2013						-63.18	-57.54	0
DuseBay		Tourism			2012	2013						-63.32	-57.15	0
EckenerPoint		Tourism			2012	2013						-64.26	-61.36	0
ElephantPoint		Tourism			2012	2013						-62.41	-60.52	0
EzcurraInlet		Tourism			2012	2013						-62.9	-58.32	0
FalseIsland		Tourism			2012	2013						-64.31	-62.53	0
FalseIslandPoint		Tourism			2012	2013						-63.55	-57.2	0
FoynHarbor		Tourism			2012	2013						-64.33	-62.1	0
FoynIsland		Tourism			2012	2013						-71.56	171.04	0
FrenchPassage		Tourism			2012	2013						-65.1	-64.2	0
FreudPassage		Tourism			2012	2013						-64.17	-62.8	0
GabrieldeCastillaStation		Tourism			2012	2013						-62.58	-60.4	0
GalindezIsland		Tourism			2012	2013						-65.15	-64.15	0
GandIsland		Tourism			2012	2013						-64.24	-62.51	0
GastonIslands		Tourism			2012	2013						-64.28	-61.5	0
GeorgeVISound		Tourism			2012	2013						-71	-68	0
GibbonBay		Tourism			2012	2013						-60.39	-45.11	0
GibbsIsland		Tourism			2012	2013						-61.28	-55.34	0
GrandidierChannel		Tourism			2012	2013						-65.35	-64.45	0
GuepratteIsland		Tourism			2012	2013						-64.3	-63	0
GuyouIslands		Tourism			2012	2013						-65.3	-63.24	0
HalfMoonIsland-ChinstrapColony		Tourism			2012	2013						-62.36	-59.55	0
HarryIsland		Tourism			2012	2013						-64.8	-61.59	0
HerbertSound		Tourism			2012	2013						-63.55	-57.4	0
HeroinaIsland		Tourism			2012	2013						-63.24	-54.36	0
HoldfastPoint		Tourism			2012	2013						-66.28	-66.21	0
HughesBay		Tourism			2012	2013						-128.27	-122.33	0
HuntIsland		Tourism			2012	2013						-64.2	-62.8	0
HutPoint		Tourism			2012	2013						-77.5	166.38	0
JabetPeak		Tourism			2012	2013						-64.49	-63.28	0
JamesRossIsland		Tourism			2012	2013						-64.1	-57.45	0
KayakBay		Tourism			2012	2013						-64.18	-62.13	0
KingGeorgeBay		Tourism			2012	2013						-62.6	-58.5	0
LagarrigueCove		Tourism			2012	2013						-64.39	-62.34	0
LagoonIsland		Tourism			2012	2013						-67.35	-68.16	0
LainezPoint		Tourism			2012	2013						-67.41	-67.49	0
LallemandFjord		Tourism			2012	2013						-67.5	-66.45	0
LapeyrèreBay		Tourism			2012	2013						-64.24	-63.15	0
LarsenInlet		Tourism			2012	2013						-64.25	-59.28	0
LaurieIsland		Tourism			2012	2013						-60.44	-44.37	0
LavoisierIsland		Tourism			2012	2013						-66.12	-66.44	0
LazarevBay		Tourism			2012	2013						-69.28	-72.4	0
LecointeIsland		Tourism			2012	2013						-64.16	-62.1	0
Lefèvre-UtilePoint		Tourism			2012	2013						-64.5	-63.31	0
LemaireIsland		Tourism			2012	2013						-64.49	-62.57	0
LiardIsland		Tourism			2012	2013						-66.51	-67.25	0
LiegeIsland		Tourism			2012	2013						-64.2	-61.55	0
LionSound		Tourism			2012	2013						-64.4	-63.9	0
LystadBay		Tourism			2012	2013						-67.5	-67.17	0
MargueriteBay		Tourism			2012	2013						-68.3	-68.3	0
MartelInlet		Tourism			2012	2013						-62.5	-58.22	0
MathaStrait		Tourism			2012	2013						-66.33	-67.26	0
MatthewIsland		Tourism			2012	2013						-60.44	-45.6	0
MaxwellBay,KingGeorgeIsland		Tourism			2012	2013						-62.15	-58.51	0
McMurdoSound		Tourism			2012	2013						-77.31	165.1	0
McMurdoStation		Tourism			2012	2013						-77.5	166.4	0
MertzGlacierTongue		Tourism			2012	2013						-67.1	145.3	0
MeusnierPoint		Tourism			2012	2013						-64.32	-61.37	0
MonroeIsland		Tourism			2012	2013						-60.36	-46.3	0
MoubrayBay		Tourism			2012	2013						-72.11	170.15	0
MoureauxIslands		Tourism			2012	2013						-65.5	-63.8	0
MudgePassage		Tourism			2012	2013						-66.2	-65.5	0
MurrayHarbour		Tourism			2012	2013						-64.21	-61.34	0
NenyFjord		Tourism			2012	2013						-68.16	-66.49	0
O'HigginsStation		Tourism			2012	2013						-63.19	-57.54	0
OrcadasStation		Tourism			2012	2013						-60.44	-44.44	0
PalmerStation		Tourism			2012	2013						-64.46	-64.5	0
ParadiseHarbor		Tourism			2012	2013						-64.51	-62.54	0
PatagoniaBay		Tourism			2012	2013						-64.27	-63.12	0
PineIslandBay		Tourism			2012	2013						-74.5	-102.4	0
PleneauIsland		Tourism			2012	2013						-65.6	-64.4	0
PossessionIsland		Tourism			2012	2013						-71.52	-171.12	0
PotterCove		Tourism			2012	2013						-62.14	-58.42	0
PourquoiPasIsland		Tourism			2012	2013						-67.41	-67.28	0
PresidentHead		Tourism			2012	2013						-62.44	-61.12	0
PrinceGustavChannel		Tourism			2012	2013						-63.5	-58.15	0
RabotPoint		Tourism			2012	2013						-64.16	-57.18	0
RecessCove		Tourism			2012	2013						-64.3	-61.32	0
RobertsonIsland		Tourism			2012	2013						-65.1	-59.37	0
RomanFourPromontory		Tourism			2012	2013						-68.13	-66.56	0
RossSea		Tourism			2012	2013						-75	-175	0
RotheraStation		Tourism			2012	2013						-67.34	-68.7	0
SablePinnacles		Tourism			2012	2013						-64.4	-62.34	0
SadlerPoint		Tourism			2012	2013						-64.42	-62.4	0
SalmonBay		Tourism			2012	2013						-77.55	164.33	0
SalvesenCove		Tourism			2012	2013						-64.24	-61.2	0
SandefjordBay		Tourism			2012	2013						-60.37	-46.3	0
SanMartinStation		Tourism			2012	2013						-68.7	-67.6	0
SchollaertChannel		Tourism			2012	2013						-64.18	-62.3	0
SealIslands		Tourism			2012	2013						-60.34	-55.14	0
ShingleCove		Tourism			2012	2013						-60.39	-45.34	0
ShroveCove		Tourism			2012	2013						-63.59	-57.5	0
SiffreyPoint		Tourism			2012	2013						-63.13	-57.13	0
SignyIslandStation		Tourism			2012	2013						-66.55	-67.1	0
SimsIsland		Tourism			2012	2013						-73.21	-78.19	0
SipleIsland		Tourism			2012	2013						-73.39	-125	0
SjogrenInlet		Tourism			2012	2013						-64.14	-59	0
SkogBay		Tourism			2012	2013						-66.52	-66.3	0
SkottsbergPoint		Tourism			2012	2013						-63.55	-60.49	0
SmiggersIsland		Tourism			2012	2013						-65.27	-65.19	0
SnowHillIsland-EmperorPenguinColony		Tourism			2012	2013						-64.3	-57.26	0
SnowHillIsland-IceEdgeLanding		Tourism			2012	2013						-64.28	-57.1	0
SnowHillIsland-Nordenskjold'sHut		Tourism			2012	2013						-64.28	-57.12	0
SouthOrkneyIslands		Tourism			2012	2013						-60.35	-45.3	0
SouthShetlandIslands		Tourism			2012	2013						-62	-58	0
StefanIcePiedmont		Tourism			2012	2013						-66.4	-66.3	0
StonyPoint		Tourism			2012	2013						-64.54	-62.55	0
StygianCove		Tourism			2012	2013						-60.4	-45.36	0
SunshineGlacier		Tourism			2012	2013						-60.39	-45.32	0
SwiftBay		Tourism			2012	2013						-64.22	-57.46	0
TayHead		Tourism			2012	2013						-63.21	-55.34	0
TerraFirmaIslands		Tourism			2012	2013						-68.42	-67.32	0
TheNaze		Tourism			2012	2013						-63.57	-57.32	0
TrinityIsland		Tourism			2012	2013						-54	-38.1	0
TrinityPeninsula		Tourism			2012	2013						-63.37	-58.2	0
TuttonPoint		Tourism			2012	2013						-66.53	-67.35	0
TwoHummockIsland		Tourism			2012	2013						-64.8	-61.42	0
VegaIsland		Tourism			2012	2013						-63.5	-57.25	0
VortexIsland		Tourism			2012	2013						-63.44	-57.38	0
WalkerPoint		Tourism			2012	2013						-61.8	-54.42	0
WebbIsland		Tourism			2012	2013						-67.27	-67.56	0
NekoHarbor		Tourism			2011	2012						-64.5	-62.33	22,542
CuvervilleIsland		Tourism			2011	2012						-64.41	-62.38	20,418
NeumayerChannel		Tourism			2011	2012						-64.47	-63.3	19,616
GoudierIsland		Tourism			2011	2012						-64.5	-63.3	18,599
GerlacheStrait		Tourism			2011	2012						-64.3	-62.2	17,168
WhalersBay		Tourism			2011	2012						-62.59	-60.34	16,130
LemaireChannel		Tourism			2011	2012						-65.4	-63.57	15,262
BismarckStrait		Tourism			2011	2012						-64.51	-64	11,152
JouglaPoint		Tourism			2011	2012						-64.49	-63.3	10,323
DancoIsland		Tourism			2011	2012						-64.44	-62.37	9,876
SkontorpCove		Tourism			2011	2012						-64.54	-62.52	7,921
PauletIsland		Tourism			2011	2012						-63.35	-55.47	7,441
BrownBluff		Tourism			2011	2012						-63.32	-56.55	6,987
BransfieldStrait		Tourism			2011	2012						-63	-59	6,812
DamoyPoint/DorianBay		Tourism			2011	2012						-64.49	-63.32	6,243
DeceptionIsland		Tourism			2011	2012						-62.57	-60.38	5,416
ErreraChannel		Tourism			2011	2012						-64.42	-62.36	5,336
TelefonBay		Tourism			2011	2012						-62.56	-60.4	4,962
AntarcticSound		Tourism			2011	2012						-63.2	-56.45	4,480
AndvordBay		Tourism			2011	2012						-64.5	-62.39	4,247
OrneHarbor		Tourism			2011	2012						-64.37	-62.32	4,185
WilhelminaBay		Tourism			2011	2012						-64.38	-62.1	4,181
PetermannIsland		Tourism			2011	2012						-65.1	-64.1	4,041
HopeBay		Tourism			2011	2012						-63.23	-57	4,033
WaterboatPoint/GonzalezVidelaStation		Tourism			2011	2012						-64.49	-62.51	3,996
ElephantIsland		Tourism			2011	2012						-61.1	-55.14	3,912
HannahPoint		Tourism			2011	2012						-62.39	-60.37	3,425
EnterpriseIsland		Tourism			2011	2012						-64.32	-62	3,209
CiervaCove		Tourism			2011	2012						-64.9	-60.53	3,192
FridtjofSound		Tourism			2011	2012						-63.34	-56.43	3,042
BailyHead		Tourism			2011	2012						-62.58	-60.29	3,003
NeptunesBellows		Tourism			2011	2012						-63	-60.34	2,917
WeddellSea		Tourism			2011	2012						-72	-45	2,902
FreiStation		Tourism			2011	2012						-62.12	-58.57	2,880
VernadskyStation		Tourism			2011	2012						-65.14	-64.15	2,212
PointWild		Tourism			2011	2012						-61.6	-54.52	2,191
DallmannBay		Tourism			2011	2012						-64.2	-62.55	2,131
PortCharcot		Tourism			2011	2012						-65.4	-64	2,124
PortalPoint		Tourism			2011	2012						-64.3	-61.46	2,044
MelchiorIslands		Tourism			2011	2012						-64.19	-62.57	1,930
ButlerPassage		Tourism			2011	2012						-64.58	-63.44	1,883
DevilIsland		Tourism			2011	2012						-63.48	-57.17	1,881
AdmiraltyBay		Tourism			2011	2012						-62.1	-58.25	1,682
YankeeHarbor		Tourism			2011	2012						-62.32	-59.47	1,532
PortFoster		Tourism			2011	2012						-62.57	-60.39	1,507
WalkerBay(byHannahPoint)		Tourism			2011	2012						-62.38	-60.42	1,128
HydrurgaRocks		Tourism			2011	2012						-64.8	-61.37	1,079
PenolaStrait		Tourism			2011	2012						-65.1	-64.7	842
CapeLookout		Tourism			2011	2012						-61.16	-55.12	825
GourdinIsland		Tourism			2011	2012						-63.12	-57.18	804
YalourIslands		Tourism			2011	2012						-65.14	-64.1	803
PendulumCove		Tourism			2011	2012						-62.56	-60.36	786
PenguinIsland		Tourism			2011	2012						-62.6	-57.54	762
HeroinaIsland		Tourism			2011	2012						-63.24	-54.36	754
KinnesCove/MadderCliffs		Tourism			2011	2012						-63.18	-56.27	713
AstrolabeIsland		Tourism			2011	2012						-63.17	-58.4	693
LeithCove		Tourism			2011	2012						-64.52	-62.5	693
HiddenBay		Tourism			2011	2012						-65.2	-63.46	677
EnglishStrait		Tourism			2011	2012						-62.27	-59.38	624
FranklinIsland		Tourism			2011	2012						-76.5	168.19	621
LivingstonIsland		Tourism			2011	2012						-62.36	-60.3	616
SpertIsland		Tourism			2011	2012						-63.51	-60.57	552
HovgaardIsland		Tourism			2011	2012						-65.8	-64.8	549
ErebusandTerrorGulf		Tourism			2011	2012						-63.55	-56.4	453
ArdleyIsland		Tourism			2011	2012						-62.13	-58.56	412
FishIslands		Tourism			2011	2012						-66.2	-65.25	375
CoronationIsland		Tourism			2011	2012						-60.37	-45.35	369
FergusonChannel		Tourism			2011	2012						-64.54	-62.59	344
CapeEvans		Tourism			2011	2012						-77.38	166.24	338
WinterIsland		Tourism			2011	2012						-65.15	-64.16	336
CapeRoyds		Tourism			2011	2012						-77.32	-166.8	327
CharlotteBay		Tourism			2011	2012						-64.33	-61.39	315
HorseshoeIsland		Tourism			2011	2012						-67.51	-67.12	308
BongrainPoint		Tourism			2011	2012						-67.43	-67.48	307
ProspectPoint		Tourism			2011	2012						-66.1	-65.21	306
RongeIsland/GeorgesPoint		Tourism			2011	2012						-64.43	-62.41	306
RongeIsland/KerrPoint		Tourism			2011	2012						-64.42	-62.37	306
RongeIslandKetleyPoint		Tourism			2011	2012						-64.42	-62.46	306
GirardBay		Tourism			2011	2012						-65.8	-64	275
CockburnIsland		Tourism			2011	2012						-64.12	-56.51	273
ChiriguanoBay		Tourism			2011	2012						-64.28	-62.31	252
SpigotPeak		Tourism			2011	2012						-64.38	-62.34	250
TurretPoint		Tourism			2011	2012						-62.5	-57.55	236
TaylorValley/CanadaGlacier		Tourism			2011	2012						-77.39	162.56	228
GrahamPassage		Tourism			2011	2012						-64.24	-61.31	227
DoumerIsland		Tourism			2011	2012						-64.51	-63.35	224
RobertPoint		Tourism			2011	2012						-62.28	-59.23	223
CurtissBay		Tourism			2011	2012						-64.2	-60.47	216
FournierBay		Tourism			2011	2012						-64.31	-63.6	195
OrneIslands		Tourism			2011	2012						-64.4	-62.4	194
RossIceShelf		Tourism			2011	2012						-81.3	-175	186
BlaiklockIsland		Tourism			2011	2012						-67.33	-67.4	167
SnowIsland		Tourism			2011	2012						-62.47	-61.23	162
PeltierChannel		Tourism			2011	2012						-64.52	-63.32	159
CrystalSound		Tourism			2011	2012						-66.23	-66.3	157
ShingleCove		Tourism			2011	2012						-60.39	-45.34	148
BellingshausenSea		Tourism			2011	2012						-71	-85	138
UsefulIsland		Tourism			2011	2012						-64.43	-62.52	128
SouthOrkneyIslands		Tourism			2011	2012						-60.35	-45.3	120
MartelInlet		Tourism			2011	2012						-62.5	-58.22	116
FortPoint		Tourism			2011	2012						-62.34	-59.34	114
LionSound		Tourism			2011	2012						-64.4	-63.9	109
JamesRossIsland		Tourism			2011	2012						-64.1	-57.45	66
HerbertSound		Tourism			2011	2012						-63.55	-57.4	60
EdinburghHill		Tourism			2011	2012						-62.33	-60.1	57
DiscoveryBay		Tourism			2011	2012						-62.29	-59.43	48
ArgentineIslandsOther		Tourism			2011	2012						-65.15	-64.16	41
NansenIsland		Tourism			2011	2012						-64.35	-62.6	41
PlataPassage		Tourism			2011	2012						-64.4	-62.1	32
BrabantIsland		Tourism			2011	2012						-64.15	-62.2	27
DuthiersPoint		Tourism			2011	2012						-64.48	-62.49	20
PrinceGustavChannel		Tourism			2011	2012						-63.5	-58.15	17
SandefjordBay		Tourism			2011	2012						-60.37	-46.3	16
PalaverPoint		Tourism			2011	2012						-64.9	-61.45	11
HarryIsland		Tourism			2011	2012						-64.8	-61.59	9
BeascocheaBay		Tourism			2011	2012						-65.3	-64	8
RedRockRidge		Tourism			2011	2012						-68.18	-67.8	8
TerraFirmaIslands		Tourism			2011	2012						-68.42	-67.32	8
PossessionIsland		Tourism			2011	2012						-71.52	-171.12	4
ActiveSound		Tourism			2010	2011						-63.25	-56.1	0
AdelaideIsland		Tourism			2010	2011						-67.15	-68.3	0
AdmiraltyBay		Tourism			2010	2011						-62.1	-58.25	8,693
AdmiraltySound		Tourism			2010	2011						-64.2	-57.1	3,555
AguirrePassage		Tourism			2010	2011						-64.29	-62.3	0
AitchoIslands-BarrientosIsland		Tourism			2010	2011						-62.24	-59.47	0
AmphibolitePoint		Tourism			2010	2011						-60.41	-45.21	0
AndresenIsland		Tourism			2010	2011						-66.53	-66.4	0
AndvordBay		Tourism			2010	2011						-64.5	-62.39	842
AntarcticSound		Tourism			2010	2011						-63.2	-56.45	14,895
ArctowskiStation		Tourism			2010	2011						-62.9	-58.28	0
ArdleyIsland		Tourism			2010	2011						-62.13	-58.56	524
ArgentineIslandsOther		Tourism			2010	2011						-65.15	-64.16	636
ArthurHarbor		Tourism			2010	2011						-64.46	-64.4	0
AstrolabeIsland		Tourism			2010	2011						-63.17	-58.4	2,338
BagnoldPoint		Tourism			2010	2011						-67.02	-67.29	0
BailyHead		Tourism			2010	2011						-62.58	-60.29	2,721
BaldHead		Tourism			2010	2011						-63.38	-57.36	0
BallenyIslands		Tourism			2010	2011						-66.55	163.2	0
BancroftBay		Tourism			2010	2011						-64.34	-61.52	0
BayofWhales		Tourism			2010	2011						-78.3	-164.2	0
BeakIsland		Tourism			2010	2011						-63.37	-57.18	0
BearPeninsula		Tourism			2010	2011						-74.34	-111	0
BeascocheaBay		Tourism			2010	2011						-65.3	-64	0
BeerIsland		Tourism			2010	2011						-66	-65.41	0
BeethovenPeninsula		Tourism			2010	2011						-71.43	-73.4	0
BellingshausenSea		Tourism			2010	2011						-71	-85	0
BellingshausenStation		Tourism			2010	2011						-62.11	-58.57	0
BenedenHead		Tourism			2010	2011						-64.46	-62.42	0
BennettIslands		Tourism			2010	2011						-66.56	-67.4	0
